"species","latitude","longitude","date","source","temp","precip","day","month","year","elevation","NDVI","LC"
"1","Cardamine pratensis",47.0002688289,6.9350520062,"2021-06-16 13:27:00 +0200","inat",6.3,1265,16,6,2021,593.930174690242,6422.27842001391,"Permanent_Snow_and_Ice"
"2","Cardamine pratensis",46.7095503005,7.4470877031,"2020-05-07 10:16:00 +0200","inat",5.4,1286,7,5,2020,1768.56761679716,7526.91235871896,"Water_Bodies"
"3","Cardamine pratensis",47.053348,8.29987,"2022-04-09 15:19:00 +0200","inat",8.6,1158,9,4,2022,469.121647986887,5409.77990590824,"Urban_and_Built_up_Lands"
"4","Cardamine pratensis",46.4376367016,9.7620884702,"2022-05-28 15:44:55 +0200","inat",-0.4,1397,28,5,2022,1996.22242182445,6932.43149991729,"Urban_and_Built_up_Lands"
"5","Cardamine pratensis",46.9384472222,8.9898361111,"2022-05-26 10:57:58 +0200","inat",1.8,1728,26,5,2022,1312.34106880448,8165.7320355852,"Water_Bodies"
"6","Cardamine pratensis",47.5514755249,7.6064090729,"2022-05-24 11:06:54 +0200","inat",9.9,781,24,5,2022,266.79221831275,4711.85913089003,"Urban_and_Built_up_Lands"
"7","Cardamine pratensis",47.3498943265,8.4917505281,"2022-04-27 13:04:49 +0200","inat",8.8,1103,27,4,2022,677.569848327865,8318.56529430882,"Permanent_Snow_and_Ice"
"8","Cardamine pratensis",47.1475195,7.0545528333,"2022-05-21 16:21:45 +0200","inat",7.2,1135,21,5,2022,1304.75575290139,8124.63635125372,"Water_Bodies"
"9","Cardamine pratensis",47.1436337821,9.1800837498,"2022-05-17 14:55:00 +0200","inat",4.2,1449,17,5,2022,1129.24343458702,7751.00504139222,"Water_Bodies"
"10","Cardamine pratensis",46.5645252994,7.1512541881,"2022-05-15 16:37:26 +0200","inat",6,1205,15,5,2022,1381.3586805572,8264.0645201295,"Water_Bodies"
"11","Cardamine pratensis",47.0144568621,6.8225014524,"2022-05-15 15:42:07 +0200","inat",6.1,1327,15,5,2022,1273.3351762332,8180.40681986624,"Permanent_Snow_and_Ice"
"12","Cardamine pratensis",47.1307373,9.0383603,"2022-05-14 11:48:17 +0200","inat",6,1364,14,5,2022,645.425913111816,7901.66158730012,"Permanent_Snow_and_Ice"
"13","Cardamine pratensis",47.308012736,9.4853639553,"2022-05-12 11:25:00 +0200","inat",5.9,1281,12,5,2022,1282.44694228128,8041.47662130852,"Water_Bodies"
"14","Cardamine pratensis",47.1250116376,6.931156672,"2022-05-09 15:32:00 +0200","inat",6.3,1265,9,5,2022,969.522257830999,7473.28533057886,"Water_Bodies"
"15","Cardamine pratensis",47.3067002315,9.4739699401,"2022-05-12 10:43:00 +0200","inat",5.9,1281,12,5,2022,1193.6029570803,7926.9831636556,"Water_Bodies"
"16","Cardamine pratensis",46.497555,7.6615716667,"2022-05-12 20:38:12 +0200","inat",0.7,1798,12,5,2022,1447.52919540742,7830.85113015451,"Water_Bodies"
"17","Cardamine pratensis",47.4167784696,9.3804796338,"2022-05-10 14:49:19 +0200","inat",7.6,1156,10,5,2022,783.33277538649,6772.37290807042,"Permanent_Snow_and_Ice"
"18","Cardamine pratensis",47.2690186557,6.9723512046,"2022-05-09 08:40:38 +0200","inat",6.9,1208,9,5,2022,819.390481102731,7792.05499474468,"Water_Bodies"
"19","Cardamine pratensis",47.4415856,8.0324624,"2022-05-02 15:04:00 +0200","inat",8.9,1040,2,5,2022,707.894810355139,8060.30832487115,"Water_Bodies"
